Ā. L.	Ānandalaharī.
Karpūr.	Karpūramañjarī (Published in Kāvyamālā.)
Kāśi.	Kāśikāvṛtti, (Benares).
Kaṭh.	Kaṭhopaniṣad, ({#सार्थ उपनिषत्संग्रह, ह. र. भागवत १९१४#}).
Kāty.	Kātyāyana.
Kau. A.	Kauṭiliya Arthaśāstra, by Dr. Shāma Śastry, 1924.
Kauś.	Kauśikasūtra.
Kauṣ. Br.	Kauṣītaki Brāhmaṇa.
Kauṣ. Up.	Kauṣītakyupaniṣad.
Kāv.	Kāvyādarśa.
Kāvyāl.	Kāvyālaṅkāra (Publishad in Kāvyamālā).
Ken.	Kenopaniṣad, ({#सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४#}).
Ki.	Kirātārjunīya, (Nirṇaya Sāgara, 1922).
Kīr. K.	Kīrtikaumudī, (Bombay).
Ks.	Kathāsaritsāgara.
Ku.	Kumārasambhava, (Nirṇaya Sāgara, 1916).
Kull.	Kullūka.
Kusum.	Kusumāñjali.
Kuval.	Kuvalayānanda.
L. D. B.	List of Prof. Dineshchandra Bhattacharya.
L. V.	Lalitavistara.
Līlā.	Lilāvatī.
Lm.	Laghu-mañjūṣā.
M.	Mālavikāgnimitra, (Prin. R. D. Karmarkar, 1933).
M. W.	Monier Williams.
Mādh. N.	Mādhavanidāna.
Mahān.	Mahānāṭaka.
Mahānār. Up.	Mahānārāyaṇopaniṣad.
Māl.	Mālatīmādhava (Oriental Publishing Co. Bombay, 1913).
Malli.	Mallinātha.
Māna.	Mānasāra, (ed. by Acharya).
Māṇḍ.	Māṇḍūkyopaniṣad, ({#सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४#}).
Mārk. P.	Mārkaṇḍeya Purāṇa.
Mātaṅga L.	Mātaṅgalīlā of Nīlakaṇṭha.
Mb.	Mahābhārata, ({#चित्रशाळा, पुणें , १९२९-३३#}).
Mbh.	Mahābhāṣya, (Bombay).
Me.	Meghadūta, (R. D. Karmarkar, 1938).
Med.	Medinīkośa.
Mīm.	Mīmāmsā.
Mitā.	Mitākṣarā, (Bombay).
Mk.	Mṛchhakaṭika, (R. D. Karmarkar, 1937).
Moha M.	Mohamudgara.
Ms.	Manusmṛti, (J. M. Gurjar, Bombay, 1894).
Mu.	Mudrārākṣasa, (Royal Book Stall, Poona, 1948).
Mugdha.	Mugdhabodha.
Muṇḍ.	Muṇḍakopaniṣad, ({#सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४#}).
Mv.	Mahāvīracharita, (Nirṇaya Sāgara, 1926).
MW.	Monier-Williams Sanskrit-English Dictionary, 1899
N.	Naiṣadhacharita, (Nirṇaya Sāgara, 1933).
Nāg.	Nāgānanda.
Naigh.	Naighaṇṭuka by Yāska.
Nala.	Nalopākhyāna, (Bombay).
Nalod.	Nalodaya.
Nigh. Ratn.	Nighaṇṭa-Ratnākara.
Nir.	Nirukta.
Nīti.	Nītisāra.
Nītipra.	Nītipradīpa.
Nm.	Nānārthamañjarī of Rāghava.
Nṛ. P. Up.	Nṛsiṃhapūrvatāpinyupaniṣad.
P.	Pāṇiniʼs Aṣṭādhyāyī.
P. P.	Pārvatīpariṇaya.
P. R.	Prasannarāghava.
Pad. D.	Padaṅkadūta.
Pañch.	Pañcharātra.
Pari. Śekh.	Paribhāṣeṇḍūśekhara.
Parṇāl.	Parṇālaparvatagrahaṇākhyāna.
Pb.	Paribhāṣā.
Pbh.	Paribhāṣeṇḍūśekhara.
Prab.	Prabodhachandrodaya, (Bombay).
Pradīp.	Mahābhāṣya-Pradīpa (Kaiyaṭa).
Praśna.	Praśnopaniṣad, ({#सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४#}).
Praśna. Up.	Praśnopaniṣad, ({#सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४#}).
Pratijñā.	Pratijñā Yaugandharāyaṇa.
Priy. D.	Priyadarśikā.
Pś.	Pāṇinīya Śikṣā.
PS.	Pāṇinīya Sūtra.
Pt.	Pañchatantra. Chap, I, IV, V, ({#आर्यभूषण प्रेस, पुणें  १८९३#}); Chap. II and III, (Oriental Publishing Company, Bombay, 1912).
Pur. Pv.	Puruṣottama-Paribhāṣāvṛitti.
R.	Raghuvamśa, (R. A. Sagoon, Bombay 1897).
R. G.	Rasagaṅgādhara, (Prof. R. B. Athavale).
Ṛ. S.	Ṛtusamhāra, (V.R. Nerurkar, Bombay, 1916).
Rāj. P.	Rājapraśasti.
Rāj. T.	Rājataraṅgiṇī.
Rām.	Rāmāyaṇa, (Nirṇaya Sāgara, 1888).
Rām. ch.	Rāmacharitain by Yuvarāja Kavi.
Ras. M.	Rasamañjarī.
Ratn.	Ratnāvalī, (Padhye, Yande, Manerikar & Co. Bombay, 1907).
Ṛs.	Ṛitusaṃhāra.
Rv.	Ṛgveda, (Pandita Satawalekar and V. S. Mandala, Poona).
Rv. Pr.	Ṛgveda Prātiśākhya.
Ś.	Śakuntalam, (Shiralkar & Co. Poona, 1902).
Ś. B.	Śārīrabhāṣya.
S. D.	Sāhityadarpaṇa.
S. L.	Sudhālaharī (Published in the Kavyamālā).
Ś. Til.	Śṛngāratilaka.
Śabda Ch.	Śabdacintāmaṇi (Sanskṛt-Gujrati Dictionary by Ramanabhai Nilkanth, 1899).
Śabdak.	Śabdakalpadruma.
Śāhendra.	Śāhendravilāsa, edited by Dr. Raghavan.
Śālihotra	Śālihotra of Bhoja, edited by Dr. E. D. Kulkarni.
Sāṅ. K.	Sāṅkhyakārikā.
Sāṅ. S.	Sāṅkhyasūtra.
Sāṅkhya. K.	Sāṅkhyakārikā.
Śānti.	Śāntiśataka.
Sar. K.	Sarasvatīkaṇṭhābharaṇa.
Sar. S.	Sarvadarśanasaṃgraha.
Śāraṅg. S.	Śāraṅgdhara Samhitā
Sarva. S.	Sarvadarśanasaṃgraha.
Śat. Br.	Śatapatha Brāhmaṇa.
Sāy.	Sāyaṇa.
ŚB. on MS.	Śābarabhāṣya on Mīmānsā Sūtras.
Śi.	Śisupālavadha, (Nirṇaya Sāgara, 1902).
Sid. Mukt.	Siddhāntamuktāvali.
Muktā.	Siddhāntamuktāvali.
Śik.	Śikṣā.
Śik. s.	Śikṣā-Saṅgraha.
Sinhās.	Sinhāsana-dvātrinśikā.
Sīr. Pv.	Sīrdevaʼs Paribhāsāvṛtti.
Śiva B.	Śivabhārata by Paramānanda.
Śiva P.	Śiva Purāṇa.
Sk.	Siddhānta-Kaumudī.
Skanda P.	Skanda Purāṇa.
Śrut.	Śrutabodha.
Śs.	Śrauta-sūtra.
Subh.	Subhāṣitaratnākara, (Bombay).
Subh. Ratn.	Subhāṣitaratnabhāṇdāgāra, (Bombay).
Subhāṣ.	Subhāṣita.
Śukra.	Śukranīti, ({#रा. गो. शास्त्री, अलीबाग छापखाना#}).
Sūkti.	Sūktisundara.
Sūrya S.	Sūryasiddhānta.
Suśr.	Suśruta.
Sv.	Sāmaveda.
Svapna.	Svapnavāsavadatta.
Śvet. Up.	Śvetāśvataropaniṣad.
T. Ār.	Taittirīya Āraṇyaka.
T. Br.	Taittirīya Brāhmaṇa.
T. S.	Tarkasaṃgraha, (Bombay).
T. Up.	Taittirīya Upaniṣad.
Taitt. Sam.	Taittirīya Samhitā.
Tarka K.	Tarkakaumudī, (Bombay).
Tp.	Taittirīya Prātiśākhya.
Trik.	Trikāṇḍaśeṣa.
Ts.	Taittirīya Samhitā.
Tv.	Tārānāthaʼs Vāchaspatyam.
U.	Uttararāmacharita, (P. V. Kane, Bombay, 1915).
Ud. D.	Uddhavadūta.
Ud. S.	Uddhavasandeśa.
Udb.	Udbhaṭa.
Ujjval.	Ujjvaladatta.
Uṇ.	Uṇādisūtras (N. B. New references from the letter प in this edition are taken from the work edited by T. R. Chintamani, University of Madras Publication, 1933.)
Up.	Upaniṣad.
V.	Vikramorvaśīyam, (R. D. Karmarkar, 1932).
V. May.	Vyavahāramayūkha, (Mr. Mandalikʼs Edition).
V. P.	Viṣṇu Purāṇa.
V. Ratna.	Vṛttaratnākara.
V. Sah.	Viṣṇusahasranāma.
Vāgb.	Vāgbhaṭa.
Vai. Bhū. ({#वै˚ भू˚#}).	Vaiyākaraṇabhūṣaṇasāra.
Vaiś.	Vaiśeṣika.
Vaiś. Sūt.	Vaiśeṣikasūtras.
Vāj.	Vājasaneyi Samhitā, ({#मनोहर ग्रंथमाला, पुणें , १९४२#}).
Vāk. P.	Vākyapadiya.
Vall. Subh.	Vallabhadevaʼs Subhāṣitāvali, (Bombay).
Vās.	Vāsavadattā, (Nirṇaya Sāgara, 1940).
Vātsy.	Vātsyāyana Kāmasūtra.
Vb.	Viddhaśalabhañjikā, (Bombay).
Vbh.	Vaidikābharaṇa (a commentary on {#तै˚ प्रातिशाख्य#}).
Ve.	Venīsaṃhāra, (A. B. Gajendragadkar. 1941).
Vedānta P.	Vedāntaparibhāṣā.
Vet.	Vetālapañchavimsati.
Vid.	Vidagdhamukhamaṇḍana.
Vikr.	Vikramāṅkadevacharita, (Bombay).
Vīr. M.	Vīramitrodaya.
Viś. Guṇā.	Viśvaguṇādarśachampū, (Nirṇaya Sāgara, 1915).
Vop.	Vopadeva.
Vp.	Vājasaneyi Prātiśākhya.
Vṛnd. Ś.	Vṛndāvanaśataka.
Y.	Yājñavalkya Smṛti, (Nirṇaya Sāgara, 1926).
Yaj.	Yajurveda (Pandit Satawalekar ed.)
Yoga S.	Yogasūtras.
Yv.	Yajurveda (Pandit Satawalekar ed.)
Wilson	Wilson Sanskrit-English Dictionary
